x y theta
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.999999999999984346e-01 2.619324796275604535e-08 1.746216530850407038e-07
5.999997594348038810e-01 3.290594676541776253e-04 2.193381420473789357e-03
8.999966388578938270e-01 1.643809289419780875e-03 6.571652449581917577e-03
1.199981563489552761e+00 4.597363122984768347e-03 1.311905971690465258e-02
1.499934864258946954e+00 9.836698979511667579e-03 2.181173181963805968e-02
1.799822315147266094e+00 1.800009334516193549e-02 3.261788067465245383e-02
2.099591444686858210e+00 2.971439159359210574e-02 4.549784041738001716e-02
2.399168198430170484e+00 4.559211665142605396e-02 6.040412113054708515e-02
2.698454027356605334e+00 6.622840240517653687e-02 7.728148056637669516e-02
2.997323474207300720e+00 9.219775078195525941e-02 9.606701742138384903e-02
3.295622325283518617e+00 1.240506251868074422e-01 1.166902899928451559e-01
3.593166388985372883e+00 1.623099075321100537e-01 1.390734641738025634e-01
3.889740954025354913e+00 2.074672608622029901e-01 1.631314947153838790e-01
4.185100969631470491e+00 2.599794539013881023e-01 1.887723434915253296e-01
4.478971977081627642e+00 3.202647170265892074e-01 2.158972381369900495e-01
4.771051806654374339e+00 3.886992104556287186e-01 2.444009738958510813e-01
5.061013036778423846e+00 4.656136941306638910e-01 2.741722608219401280e-01
5.348506193228630856e+00 5.512904942038326928e-01 3.050941176299406532e-01
5.633163646236560851e+00 6.459608626435903167e-01 3.370443125280085384e-01
5.914604143101253264e+00 7.498028238732236117e-01 3.698958502994024178e-01
6.192437894162491574e+00 8.629395953212624093e-01 4.035175037774171303e-01
6.466272111768554431e+00 9.854386573308032693e-01 4.377743867159833990e-01
6.735716886078392918e+00 1.117311532315598210e+00 4.725285639421646922e-01
7.000391269073699796e+00 1.258514313893220216e+00 5.076396936323432918e-01
7.259929429783753108e+00 1.408948964734586085e+00 5.429656956259676370e-01
7.513986740020718536e+00 1.568465378009343381e+00 5.783634389205384307e-01
7.762245651219214615e+00 1.736864172687506702e+00 6.136894409141626650e-01
8.004421229328373855e+00 1.913900168763725373e+00 6.488005706043412646e-01
8.240266225883354778e+00 2.099286465883053232e+00 6.835547478305226132e-01
8.469575578870363941e+00 2.292699028964722441e+00 7.178116307690888265e-01
8.692190256029327600e+00 2.493781668185155009e+00 7.514332842471035390e-01
8.908000374849160963e+00 2.702151288817412844e+00 7.842848220184973629e-01
9.116947556610424996e+00 2.917403279394750193e+00 8.162350169165653035e-01
9.319026495274760791e+00 3.139116904652146101e+00 8.471568737245658287e-01
9.514285744690930358e+00 3.366860572602504931e+00 8.769281606506549309e-01
9.702827748462532043e+00 3.600196852567544958e+00 9.054318964095159350e-01
9.884808155040436972e+00 3.838687132435688376e+00 9.325567910549806827e-01
1.006043447550586478e+01 4.081895818128457698e+00 9.581976398311221610e-01
