x_dot y_dot theta_dot
3.000000000000000000e+00 0.000000000000000000e+00 1.746216530850407250e-06
2.999999999999954259e+00 5.238649592551193585e-07 2.193206798820704351e-02
2.999992783619809700e+00 6.580138985329110971e-03 4.378271029108127960e-02
2.999935220309258188e+00 1.971481544533702779e-02 6.547407267322734314e-02
2.999741839110914743e+00 3.935605020153035843e-02 8.692672102733406403e-02
2.999286400824547005e+00 6.543000709868782017e-02 1.080614885501439415e-01
2.998404252277777182e+00 9.783629143903432857e-02 1.287995974272756194e-01
2.996895455379251061e+00 1.364464346444896892e-01 1.490628071316706937e-01
2.994528677111305992e+00 1.811021865080955084e-01 1.687735943582960862e-01
2.991045816990538508e+00 2.316137315950889120e-01 1.878553685500715664e-01
2.986167335480424789e+00 2.877579616791545170e-01 2.062327257146130688e-01
2.979598230370479328e+00 3.492769468102762676e-01 2.238317418095740474e-01
2.971034588563492118e+00 4.158767528479566100e-01 2.405803054158131560e-01
2.960170618708832357e+00 4.872267522755379665e-01 2.564084877614143942e-01
2.946706046704639981e+00 5.629595672109233284e-01 2.712489464546472551e-01
2.930353732598262262e+00 6.426717683603606623e-01 2.850373575886102628e-01
2.910847345427804544e+00 7.259254311676259785e-01 2.977128692608905780e-01
2.887948913811436036e+00 8.122506209387262421e-01 3.092185680800053627e-01
2.861456056383544500e+00 9.011488430808392014e-01 3.195019489806789070e-01
2.831208689167267423e+00 9.920974540758400462e-01 3.285153777139387943e-01
2.797095008065154875e+00 1.084554985169950525e+00 3.362165347801469029e-01
2.759056554829559804e+00 1.177967286155282123e+00 3.425688293856625211e-01
2.717092194576177455e+00 1.271774353481470943e+00 3.475417722618131533e-01
2.671260861913918649e+00 1.365417667824358139e+00 3.511112969017862184e-01
2.621682970174223026e+00 1.458347833645479374e+00 3.532600199362429527e-01
2.568540422447637805e+00 1.550032289422549781e+00 3.539774329457078261e-01
2.512075211994714952e+00 1.639962843872295295e+00 3.532600199362429527e-01
2.452586650461636708e+00 1.727662791744201787e+00 3.511112969017862184e-01
2.390427312313818664e+00 1.812693373007176145e+00 3.475417722618131533e-01
2.325997830092551233e+00 1.894659361047453139e+00 3.425688293856625211e-01
2.259740714800868133e+00 1.973213597629831728e+00 3.362165347801470139e-01
2.192133406667725382e+00 2.048060332942209349e+00 3.285153777139387943e-01
2.123680782069294004e+00 2.118957275612123325e+00 3.195019489806789070e-01
2.054907351582748287e+00 2.185716307394712121e+00 3.092185680800053627e-01
